annotator_id,article_id,political_typology,effect,explanation,article_index,change,reinforce,date_created
C03,1638699.txt,Country First Conservatives,5,I have made public resolutions that failed and the public humiliation made it worse so I stopped trying. Making private resolutions  to change have made all the difference. This back up that change is a personal decision at New Year’s or any other time rea (...),0,,YES,2018-05-04 18:34:14.588362+02
C03,1640113.txt,Country First Conservatives,5,This is one of those that I wouldn’t argue because I have stubborn and pig headed friends. I was in the military for this scandal and that’s what it was. There were sides and I see both because I know what was going on.,1,,NO,2018-05-04 18:34:14.588362+02
C03,1640630.txt,Country First Conservatives,3,"River restoration is nice, I suppose.",2,,,2018-05-04 18:34:14.588362+02
C03,1640915.txt,Country First Conservatives,2,"I feel like we should be helping the poor, but it seems more like we are supporting people who rape and kill because we don’t agree with them. I could be reading that wrong. I think my belief that we should help the poor and that we should worry about us f (...)",3,,,2018-05-04 18:34:14.588362+02
L07,1638699.txt,Disaffected Democrats,4,I genuinely believe that people need to be actively aware and conscious to make changes in there every day lives and this editorial reinforce that idea,0,,,2018-05-04 20:24:51.224554+02
L07,1640113.txt,Disaffected Democrats,4,I believe when people are associated with wrong doings in the public eye they will mostly try to make excuses or justifications. This piece reinforced the idea that officials do what suits them best not the people at large.,1,,,2018-05-04 20:29:56.365452+02
L07,1640630.txt,Disaffected Democrats,5,This article is just another piece to help support the beautification movement America needs to support. Those hurt by the events and aftermath of 9/11 would gain so much having the river walk fixed up. It’s another case of city and state officials needed  (...),2,,YES,2018-05-04 20:34:15.412652+02
L07,1640915.txt,Disaffected Democrats,3,I was saddened to hear about the sexual abuse and assault happening to people who thought they were going to receive help. How can we protect other when people in power become animals?,3,,,2018-05-04 20:41:23.383967+02
L07,1641561.txt,Disaffected Democrats,4,I never believed there were WMD in Iraq. I always thought it was a financial move and a distraction from other important things happing in the world. ,4,,,2018-05-04 20:52:51.388495+02
L07,1642371.txt,Disaffected Democrats,3,This article was another sad story about poorly tended to American treasures. Another case of there are too many people to hold responsible so let’s not hold anyone responsible at all while the situation just gets worse.,5,,,2018-05-04 22:37:53.169088+02
L07,1642463.txt,Disaffected Democrats,4,I have often believed that he with the money makes the rules. The article talks about how the big financial backers are the ones to benefit and I am not surprised.,6,,,2018-05-04 23:11:29.513872+02
L07,1643180.txt,Disaffected Democrats,4,This article reinforced my beliefs about joe Biden and his ability to be a straight shooter and deal in the reality of things not paperwork.,7,,,2018-05-04 23:13:52.057511+02
L07,1644750.txt,Disaffected Democrats,3,The article sites faulty equipment and faulty information that in their misdirection cost the lives of several firefighters. It just implie we need better info and equipment maintainence. ,8,,,2018-05-04 23:18:27.582545+02
L07,1645252.txt,Disaffected Democrats,4,"I agree that people deal in numbers rather than personal names and faces for challenging events, but I don’t believe in donating to corporations.",9,,,2018-05-04 23:20:39.104985+02
C03,1641561.txt,Country First Conservatives,5,"Just because we didn't find them, doesn't mean that they didn't exist.",4,,YES,2018-05-05 01:17:00.579958+02
C03,1642371.txt,Country First Conservatives,4,I think a public vote is a good idea for sure because it seems like there is something shady going on. It's a library and there is this much controversy? There is more to the story.,5,,,2018-05-05 01:29:21.546189+02
C03,1642463.txt,Country First Conservatives,3,"I didn't have an opinion in the beginning and by the end, I was kind of confused.",6,,,2018-05-05 01:46:02.298286+02
L07,1645497.txt,Disaffected Democrats,4,Understanding that talking about changing and putting money behind change are two different things is not something extremely new to me. I feel that this article conveys some information that supported my stance that Pres. Bush was mostly talk when it came (...),10,,,2018-05-05 01:54:18.406521+02
L07,1647884.txt,Disaffected Democrats,4,"Not only meat factories, but other factories as well have had to come through the movement of hiring people at low wages and facing injuries to paying people wages and training them to avoid injuries. I am not surprised by the information in the article an (...)",11,,,2018-05-05 02:28:41.698501+02
L07,1648292.txt,Disaffected Democrats,4,"This editorial reinforced my stance regarding politicians and their attempt to play both sides of an issue to maintain votes and support their own agendas. The people never mattered, unless it was voting season. ",12,,,2018-05-05 02:32:44.965753+02
L07,1649531.txt,Disaffected Democrats,3,"This editorial did not feature anything not worthy that supported or opposed my stance. It can be painfully obvious sometimes that our ""vote"" doesn't really make that much of a difference. ",13,,,2018-05-05 04:01:46.307994+02
L07,1649928.txt,Disaffected Democrats,4,The idea that officials need to be impartial is not a new one. The names and quotes from officials declaring that if the people don't like it they can vote us out was new and noteworthy for me. ,14,,,2018-05-05 04:04:58.191193+02
L07,1653052.txt,Disaffected Democrats,2,Could it possibly be that this area is so safe and free of gangs etc because the police are well paid and the best are coming to the community to work because they know the pay matches the service they provide? I usually agree some professions are over pri (...),15,,,2018-05-05 04:07:49.011974+02
L07,1653167.txt,Disaffected Democrats,5,Having significant findings related to the ability of officials to make real change oriented decisions when their meetings are being filmed encourages the idea that keeping a close eye on officials is the way to create change that the community desires. ,16,,YES,2018-05-05 04:09:59.060828+02
L07,1653630.txt,Disaffected Democrats,4,"I believe our education system is failing our children. Mostly, because of the standardization and rigorous testing schedule that is administered with a hefty portion of funding going to schools which make a certain grade. This editorial barely scratched t (...)",17,,,2018-05-05 04:13:49.737067+02
L01,1645497.txt,Disaffected Democrats,4,It gave me supporting facts for the idea that the millennium challenge was a failure.,10,,,2018-05-05 22:57:18.071586+02
L07,1655610.txt,Disaffected Democrats,3,"I had no idea that ATM voting machines or optical scanner machines were even options. I think if people want to fake votes etc, no matter the machine we use they will find a way. ",18,,,2018-05-05 04:15:21.538114+02
L07,1655842.txt,Disaffected Democrats,4,"Pres. Bush was always working towards the welfare and best interest of his people, not necessarily the people. This editorial confirms the focus on side issues that the administration took when so many real issues were being faced at the time. ",19,,,2018-05-05 04:17:57.94193+02
L07,1657238.txt,Disaffected Democrats,2,"I have usually been on the side of open trade with everyone for the relationships it builds. But after reading about Canada's inability to verify their meat as safe, I can understand the need to reconsider open boarder policy. ",20,,,2018-05-05 04:20:37.437906+02
L07,1657416.txt,Disaffected Democrats,4,The idea that the administration creates fake news to control the American public or influence the world at large. I have always felt that the government and new stations play off of each other and sort of own one another. The editorial provides support re (...),21,,,2018-05-05 04:23:10.840874+02
L07,1657678.txt,Disaffected Democrats,2,"I have never thought of any thing with the word bank in its name as providing any good to anyone, especially not someone poor. Reading that the bank has done good around the world is surprising and inspiring, if not confusing and curious. ",22,,,2018-05-05 04:25:55.868693+02
L07,1658824.txt,Disaffected Democrats,4,I was not aware of this information but strongly agree with the idea that the constitution should be considered a living article that grows and changes with the community at large. ,23,,,2018-05-05 04:27:51.006581+02
L07,1658825.txt,Disaffected Democrats,2,This editorial put a lot of emphasis on cutting medicaid and i think that is a horrible idea. I don't see how anyone could afford any significant medical expenses without assistance. If medicaid is to be cut the insurance companies need to be restructured  (...),24,,,2018-05-05 04:30:47.859822+02
L07,1659244.txt,Disaffected Democrats,3,It seems that with out power and influence no one wants a position that would receive so much of the publics scorn etc if mistakes are made. ,25,,,2018-05-05 04:34:06.537592+02
L07,1660983.txt,Disaffected Democrats,4,People were harmed and deserve to receive retribution. I think the offer suggested in the article seems like a good idea. I think that people should be able to get free screening if the had been exposed and that preventative healthcare is an important thin (...),26,,,2018-05-05 04:37:35.453106+02
L07,1661875.txt,Disaffected Democrats,2,"While i agree that there needs to be someway to increase the minority numbers in so many different fields I worry for a field such as police work that in my mind seems like such an old boys club, that those who would enter on the plan in article would be s (...)",27,,,2018-05-05 04:41:33.936593+02
